latitude,longitude,acq_date,ndvi,ndmi,land_cover,label
37.30315,39.76293,2023-07-02,0.2382,0.1068,4,1
37.69898,40.10135,2023-07-02,0.1929,-0.1993,5,0
37.32814,35.59839,2023-09-13,0.1282,-0.1244,4,1
36.92119,36.08569,2023-09-13,0.6750,0.1541,4,0
38.82436,36.00638,2023-10-21,0.1225,-0.1313,4,1
39.30863,35.59408,2023-10-21,0.2501,-0.1213,5,0
36.92797,38.93847,2021-11-04,0.3220,0.0167,4,1
37.30976,39.29370,2021-11-04,0.1032,-0.1170,7,0
37.38452,37.18124,2020-07-12,0.1621,-0.1135,4,1
37.86977,36.82405,2020-07-12,0.3459,-0.0825,4,0
36.46260,32.42222,2021-08-02,0.2342,0.0593,7,0
37.16383,40.23637,2021-01-11,0.1900,-0.0809,4,1
36.76192,39.81875,2021-01-11,0.2199,-0.0655,4,0
37.31293,37.14262,2023-07-11,0.1708,-0.1345,4,1
36.86577,37.58228,2023-07-11,0.1173,-0.0653,4,0
37.66896,40.92723,2020-07-25,0.1404,-0.1519,4,1
37.20963,40.55395,2020-07-25,0.1736,-0.1167,4,0
37.30468,28.32941,2021-08-05,0.7063,0.2966,1,1
36.90596,27.87579,2021-08-05,0.0051,-0.0641,0,0
36.71428,38.89216,2023-12-19,0.2486,-0.2556,4,1
36.31324,38.48977,2023-12-19,0.0861,-0.0817,7,0
38.03607,29.53645,2020-11-01,0.1984,-0.0614,4,1
38.37302,29.90094,2020-11-01,0.2641,0.0101,1,0
36.82484,39.4726,2023-12-30,0.1517,-0.1650,4,1
37.25472,39.79808,2023-12-30,0.5701,0.1333,1,0
37.77725,40.93035,2021-09-12,0.2868,0.0396,4,1
37.33754,41.40966,2021-09-12,0.2219,-0.0565,4,0
38.22112,41.76902,2020-09-16,0.4116,-0.0325,5,1
38.54984,42.08807,2020-09-16,0.1734,-0.1018,4,0
41.35921,34.88719,2024-02-10,0.1659,-0.0041,1,1
36.83082,39.89402,2020-09-03,0.1227,-0.1564,4,1
36.52363,39.47909,2020-09-03,0.1719,-0.0526,4,0
37.4001,39.50322,2023-07-23,0.1418,-0.0619,4,1
37.83849,39.89788,2023-07-23,0.1290,-0.1313,4,0
37.44122,38.96446,2020-08-31,0.1161,-0.0584,4,1
36.95978,38.54362,2020-08-31,0.8276,0.4250,4,0
36.75489,39.03223,2023-12-03,0.3723,-0.0806,4,1
36.26654,38.55892,2023-12-03,0.0923,-0.0780,7,0
36.78672,39.35144,2020-06-06,0.1915,-0.0058,4,1
36.47033,39.82629,2020-06-06,0.1378,-0.0623,7,0
36.81578,36.14587,2021-08-22,-0.1452,0.1257,0,0
37.5961,35.93139,2020-08-24,0.6698,0.0792,1,1
37.92953,36.32750,2020-08-24,0.2268,-0.1061,5,0
37.63759,39.68255,2020-01-25,0.2957,0.0982,7,0
37.18113,44.36271,2021-09-04,0.4002,0.0275,1,1
36.83624,44.69756,2021-09-04,0.2796,-0.1165,5,0
37.0481,27.90074,2021-08-04,0.5803,0.1797,1,1
36.71567,28.31939,2021-08-04,0.6364,-0.4156,0,0
36.96037,31.48651,2021-07-30,0.7457,0.2373,1,1
36.51658,31.86329,2021-07-30,0.0098,-0.0062,0,0
38.0262,41.42769,2023-07-13,0.1477,-0.0020,4,1
37.56348,41.87046,2023-07-13,0.1654,-0.0904,7,0
37.06501,40.31814,2023-12-03,0.4032,-0.0034,4,1
37.03312,27.81261,2021-08-02,0.4020,0.0101,5,1
37.41499,27.40469,2021-08-02,0.1154,-0.0390,6,0
38.27425,33.22019,2020-03-07,0.1490,-0.1625,4,1
37.33628,35.80458,2021-08-17,0.7026,0.1043,4,1
36.96683,31.4126,2021-08-01,0.5598,-0.0406,1,1
36.56420,31.75458,2021-08-01,-0.0009,-0.0459,0,0
41.61226,27.17351,2023-10-30,0.2567,-0.1200,4,1
36.83126,28.22692,2021-07-29,0.7589,0.2440,1,1
36.35135,28.64051,2021-07-29,0.0563,-0.1137,0,0
38.7431,29.35633,2020-09-03,0.2759,-0.1830,4,1
38.31780,28.95373,2020-09-03,0.1890,-0.1552,4,0
38.58002,26.88504,2023-02-26,0.3133,-0.0648,5,1
36.21405,35.9875,2020-09-05,0.7924,0.3831,1,1
38.28935,38.87086,2023-08-03,0.2126,-0.1518,5,1
37.81332,39.25839,2023-08-03,0.1557,-0.1428,5,0
37.11778,40.05759,2021-12-03,0.4543,0.0454,4,1
36.74943,40.48741,2021-12-03,0.0963,-0.1071,4,0
38.10443,41.1208,2020-10-24,0.1018,0.0269,7,1
37.76418,40.63768,2020-10-24,0.1479,0.0218,4,0
37.68385,39.30466,2023-11-11,0.0875,-0.1426,4,1
37.24762,39.69686,2023-11-11,0.8185,0.3788,4,0
37.30796,28.32415,2021-08-05,0.5053,0.1180,1,1
37.70250,27.91579,2021-08-05,0.0327,-0.0454,0,0
37.01352,39.01175,2020-11-24,0.2524,-0.0215,4,1
37.33293,39.32358,2020-11-24,0.1306,-0.1180,4,0
39.47433,32.70375,2022-09-10,0.1267,-0.1292,4,1
39.09811,32.32178,2022-09-10,0.1170,-0.1537,7,0
36.94773,40.06059,2021-06-10,0.2099,0.0323,4,1
37.38942,40.44192,2021-06-10,0.2554,-0.0319,4,0
37.20612,39.73609,2020-11-24,0.2123,-0.0831,4,1
37.56317,40.16037,2020-11-24,0.2141,0.0017,5,0
38.66848,40.3388,2021-06-27,0.7346,0.1720,1,1
36.78635,28.2345,2021-07-30,0.9423,0.4542,1,1
36.36175,28.60347,2021-07-30,0.0531,-0.1272,0,0
36.54194,33.70747,2021-07-30,0.4520,-0.0147,1,0
37.07367,40.05023,2021-12-26,0.2437,-0.0385,4,1
36.92053,31.30538,2021-07-29,0.5805,0.0731,1,1
36.50569,31.75208,2021-07-29,-0.0835,-0.0508,0,0
37.6751,39.31511,2021-06-23,0.3091,0.0912,4,1
37.98890,39.72703,2021-06-23,0.1483,-0.1071,4,0
37.76982,38.58808,2021-06-15,0.1204,-0.1453,4,1
37.40706,38.12608,2021-06-15,0.1699,-0.0292,4,0
37.18685,35.93674,2020-09-04,0.1904,-0.1543,4,1
36.76980,36.38249,2020-09-04,0.3536,-0.0231,5,0
37.58448,39.48943,2020-08-20,0.1092,-0.0886,4,1
37.25622,39.85019,2020-08-20,0.2601,0.0213,4,0
36.97834,40.17747,2020-06-12,0.3169,0.1287,4,1
37.37644,40.61664,2020-06-12,0.4419,-0.0259,7,0
37.05858,39.1476,2022-11-12,0.2645,-0.1666,4,1
36.62294,38.72214,2022-11-12,0.0820,-0.0625,7,0
