frame_idx,saniye,onceki_yuzde,onceki_karar,sonraki_yuzde,sonraki_karar,fark_puan,karar_degisti
0,0.0,29.43,YOK,31.15,YOK,1.72,False
12,0.4,31.7,YOK,33.42,YOK,1.72,False
24,0.8,42.37,YOK,44.09,YOK,1.72,False
36,1.2,79.63,YANGIN,81.35,YANGIN,1.72,False
48,1.6,87.21,YANGIN,88.94,YANGIN,1.72,False
60,2.0,75.16,YANGIN,76.88,YANGIN,1.72,False
72,2.4,60.45,YOK,62.17,YOK,1.72,False
84,2.8,69.67,YANGIN,71.39,YANGIN,1.72,False
96,3.2,48.62,YOK,50.35,YOK,1.72,False
108,3.6,57.38,YOK,59.11,YOK,1.72,False
120,4.0,62.78,YOK,64.5,YOK,1.72,False
132,4.4,74.47,YANGIN,76.2,YANGIN,1.72,False
144,4.8,79.72,YANGIN,81.44,YANGIN,1.72,False
156,5.2,83.42,YANGIN,85.15,YANGIN,1.72,False
168,5.6,87.67,YANGIN,89.39,YANGIN,1.72,False
180,6.0,87.63,YANGIN,89.35,YANGIN,1.72,False
192,6.4,85.86,YANGIN,87.58,YANGIN,1.72,False
204,6.8,83.58,YANGIN,85.3,YANGIN,1.72,False
216,7.2,73.86,YANGIN,75.58,YANGIN,1.72,False
228,7.6,88.49,YANGIN,90.22,YANGIN,1.72,False
240,8.0,94.19,YANGIN,95.91,YANGIN,1.72,False
252,8.4,93.13,YANGIN,94.86,YANGIN,1.72,False
264,8.8,88.01,YANGIN,89.73,YANGIN,1.72,False
276,9.2,86.77,YANGIN,88.49,YANGIN,1.72,False
288,9.6,87.43,YANGIN,89.15,YANGIN,1.72,False
300,10.0,88.85,YANGIN,90.57,YANGIN,1.72,False
312,10.4,90.33,YANGIN,92.05,YANGIN,1.72,False
324,10.8,85.86,YANGIN,87.59,YANGIN,1.72,False
336,11.2,65.85,YANGIN,67.57,YANGIN,1.72,False
348,11.6,70.58,YANGIN,72.3,YANGIN,1.72,False
360,12.0,78.54,YANGIN,80.26,YANGIN,1.72,False
372,12.4,59.09,YOK,60.81,YOK,1.72,False
384,12.8,48.05,YOK,49.77,YOK,1.72,False
396,13.2,67.13,YANGIN,68.85,YANGIN,1.72,False
408,13.6,77.16,YANGIN,78.89,YANGIN,1.72,False
420,14.0,77.32,YANGIN,79.05,YANGIN,1.72,False
432,14.4,66.46,YANGIN,68.19,YANGIN,1.72,False
444,14.8,63.4,YOK,65.12,YANGIN,1.72,True
456,15.2,70.79,YANGIN,72.52,YANGIN,1.72,False
468,15.6,76.32,YANGIN,78.04,YANGIN,1.72,False
480,16.0,80.75,YANGIN,82.47,YANGIN,1.72,False
492,16.4,77.71,YANGIN,79.43,YANGIN,1.72,False
504,16.8,80.11,YANGIN,81.84,YANGIN,1.72,False
516,17.2,76.01,YANGIN,77.73,YANGIN,1.72,False
528,17.6,88.26,YANGIN,89.99,YANGIN,1.72,False
540,18.0,87.69,YANGIN,89.41,YANGIN,1.72,False
552,18.4,84.32,YANGIN,86.04,YANGIN,1.72,False
564,18.8,70.58,YANGIN,72.3,YANGIN,1.72,False
576,19.2,64.86,YOK,66.58,YANGIN,1.72,True
588,19.6,76.27,YANGIN,77.99,YANGIN,1.72,False
600,20.0,77.04,YANGIN,78.76,YANGIN,1.72,False
612,20.4,76.47,YANGIN,78.19,YANGIN,1.72,False
624,20.8,79.89,YANGIN,81.61,YANGIN,1.72,False
636,21.2,72.79,YANGIN,74.51,YANGIN,1.72,False
648,21.6,57.86,YOK,59.58,YOK,1.72,False
660,22.0,55.34,YOK,57.06,YOK,1.72,False
672,22.4,55.48,YOK,57.21,YOK,1.72,False
684,22.8,62.49,YOK,64.21,YOK,1.72,False
696,23.2,58.89,YOK,60.61,YOK,1.72,False
708,23.6,57.74,YOK,59.46,YOK,1.72,False
720,24.0,49.36,YOK,51.08,YOK,1.72,False
732,24.4,57.26,YOK,58.98,YOK,1.72,False
744,24.8,47.33,YOK,49.05,YOK,1.72,False
756,25.2,34.66,YOK,36.38,YOK,1.72,False
768,25.6,27.08,YOK,28.8,YOK,1.72,False
780,26.0,28.45,YOK,30.17,YOK,1.72,False
792,26.4,36.79,YOK,38.51,YOK,1.72,False
804,26.8,42.0,YOK,43.73,YOK,1.72,False
816,27.2,43.38,YOK,45.1,YOK,1.72,False
828,27.6,50.01,YOK,51.73,YOK,1.72,False
840,28.0,54.47,YOK,56.19,YOK,1.72,False
852,28.4,55.54,YOK,57.26,YOK,1.72,False
864,28.8,58.29,YOK,60.01,YOK,1.72,False
876,29.2,52.52,YOK,54.25,YOK,1.72,False
888,29.6,43.65,YOK,45.37,YOK,1.72,False
900,30.0,40.09,YOK,41.81,YOK,1.72,False
912,30.4,38.45,YOK,40.17,YOK,1.72,False
924,30.8,48.04,YOK,49.77,YOK,1.72,False
936,31.2,39.77,YOK,41.49,YOK,1.72,False
948,31.6,53.75,YOK,55.47,YOK,1.72,False
960,32.0,57.1,YOK,58.82,YOK,1.72,False
972,32.4,66.14,YANGIN,67.86,YANGIN,1.72,False
984,32.8,64.81,YOK,66.53,YANGIN,1.72,True
996,33.2,53.83,YOK,55.55,YOK,1.72,False
1008,33.6,53.65,YOK,55.37,YOK,1.72,False
1020,34.0,47.7,YOK,49.42,YOK,1.72,False
1032,34.4,64.04,YOK,65.76,YANGIN,1.72,True
1044,34.8,68.71,YANGIN,70.44,YANGIN,1.72,False
1056,35.2,71.94,YANGIN,73.67,YANGIN,1.72,False
1068,35.6,75.53,YANGIN,77.25,YANGIN,1.72,False
1080,36.0,76.7,YANGIN,78.42,YANGIN,1.72,False
1092,36.4,79.19,YANGIN,80.91,YANGIN,1.72,False
1104,36.8,70.72,YANGIN,72.45,YANGIN,1.72,False
1116,37.2,67.72,YANGIN,69.44,YANGIN,1.72,False
1128,37.6,66.49,YANGIN,68.21,YANGIN,1.72,False
1140,38.0,66.23,YANGIN,67.95,YANGIN,1.72,False
1152,38.4,61.27,YOK,62.99,YOK,1.72,False
1164,38.8,59.05,YOK,60.77,YOK,1.72,False
1176,39.2,33.59,YOK,35.32,YOK,1.72,False
1188,39.6,20.93,YOK,22.65,YOK,1.72,False
1200,40.0,15.09,YOK,16.81,YOK,1.72,False
1212,40.4,13.58,YOK,15.3,YOK,1.72,False
1224,40.8,7.59,YOK,9.31,YOK,1.72,False
1236,41.2,11.53,YOK,13.25,YOK,1.72,False
1248,41.6,21.86,YOK,23.58,YOK,1.72,False
1260,42.0,14.46,YOK,16.18,YOK,1.72,False
1272,42.4,14.35,YOK,16.08,YOK,1.72,False
1284,42.8,11.03,YOK,12.75,YOK,1.72,False
1296,43.2,12.58,YOK,14.3,YOK,1.72,False
1308,43.6,15.14,YOK,16.87,YOK,1.72,False
1320,44.0,21.32,YOK,23.04,YOK,1.72,False
1332,44.4,20.77,YOK,22.49,YOK,1.72,False
1344,44.8,33.01,YOK,34.73,YOK,1.72,False
