frame_idx,saniye,onceki_yuzde,onceki_karar,sonraki_yuzde,sonraki_karar,fark_puan,karar_degisti
0,0.0,29.4,YOK,31.3,YOK,1.9,False
12,0.4,31.7,YOK,33.5,YOK,1.8,False
24,0.8,42.4,YOK,43.6,YOK,1.2,False
36,1.2,79.6,YANGIN,79.0,YANGIN,-0.6,False
48,1.6,87.2,YANGIN,86.2,YANGIN,-1.0,False
60,2.0,75.2,YANGIN,74.8,YANGIN,-0.4,False
72,2.4,60.5,YOK,60.8,YOK,0.3,False
84,2.8,69.7,YANGIN,69.5,YANGIN,-0.1,False
96,3.2,48.6,YOK,49.6,YOK,0.9,False
108,3.6,57.4,YOK,57.9,YOK,0.5,False
120,4.0,62.8,YOK,63.0,YOK,0.2,False
132,4.4,74.5,YANGIN,74.1,YANGIN,-0.4,False
144,4.8,79.7,YANGIN,79.1,YANGIN,-0.6,False
156,5.2,83.4,YANGIN,82.6,YANGIN,-0.8,False
168,5.6,87.7,YANGIN,86.6,YANGIN,-1.0,False
180,6.0,87.6,YANGIN,86.6,YANGIN,-1.0,False
192,6.4,85.9,YANGIN,84.9,YANGIN,-0.9,False
204,6.8,83.6,YANGIN,82.8,YANGIN,-0.8,False
216,7.2,73.9,YANGIN,73.5,YANGIN,-0.3,False
228,7.6,88.5,YANGIN,87.4,YANGIN,-1.1,False
240,8.0,94.2,YANGIN,92.8,YANGIN,-1.3,False
252,8.4,93.1,YANGIN,91.8,YANGIN,-1.3,False
264,8.8,88.0,YANGIN,87.0,YANGIN,-1.0,False
276,9.2,86.8,YANGIN,85.8,YANGIN,-1.0,False
288,9.6,87.4,YANGIN,86.4,YANGIN,-1.0,False
300,10.0,88.8,YANGIN,87.8,YANGIN,-1.1,False
312,10.4,90.3,YANGIN,89.2,YANGIN,-1.2,False
324,10.8,85.9,YANGIN,84.9,YANGIN,-0.9,False
336,11.2,65.9,YANGIN,65.9,YANGIN,0.1,False
348,11.6,70.6,YANGIN,70.4,YANGIN,-0.2,False
360,12.0,78.5,YANGIN,78.0,YANGIN,-0.6,False
372,12.4,59.1,YOK,59.5,YOK,0.4,False
384,12.8,48.0,YOK,49.0,YOK,1.0,False
396,13.2,67.1,YANGIN,67.1,YANGIN,0.0,False
408,13.6,77.2,YANGIN,76.7,YANGIN,-0.5,False
420,14.0,77.3,YANGIN,76.8,YANGIN,-0.5,False
432,14.4,66.5,YANGIN,66.5,YANGIN,0.0,False
444,14.8,63.4,YOK,63.6,YOK,0.2,False
456,15.2,70.8,YANGIN,70.6,YANGIN,-0.2,False
468,15.6,76.3,YANGIN,75.9,YANGIN,-0.5,False
480,16.0,80.7,YANGIN,80.1,YANGIN,-0.7,False
492,16.4,77.7,YANGIN,77.2,YANGIN,-0.5,False
504,16.8,80.1,YANGIN,79.5,YANGIN,-0.6,False
516,17.2,76.0,YANGIN,75.6,YANGIN,-0.4,False
528,17.6,88.3,YANGIN,87.2,YANGIN,-1.1,False
540,18.0,87.7,YANGIN,86.7,YANGIN,-1.0,False
552,18.4,84.3,YANGIN,83.5,YANGIN,-0.9,False
564,18.8,70.6,YANGIN,70.4,YANGIN,-0.2,False
576,19.2,64.9,YOK,65.0,YOK,0.1,False
588,19.6,76.3,YANGIN,75.8,YANGIN,-0.5,False
600,20.0,77.0,YANGIN,76.5,YANGIN,-0.5,False
612,20.4,76.5,YANGIN,76.0,YANGIN,-0.5,False
624,20.8,79.9,YANGIN,79.3,YANGIN,-0.6,False
636,21.2,72.8,YANGIN,72.5,YANGIN,-0.3,False
648,21.6,57.9,YOK,58.3,YOK,0.5,False
660,22.0,55.3,YOK,55.9,YOK,0.6,False
672,22.4,55.5,YOK,56.1,YOK,0.6,False
684,22.8,62.5,YOK,62.7,YOK,0.2,False
696,23.2,58.9,YOK,59.3,YOK,0.4,False
708,23.6,57.7,YOK,58.2,YOK,0.5,False
720,24.0,49.4,YOK,50.3,YOK,0.9,False
732,24.4,57.3,YOK,57.8,YOK,0.5,False
744,24.8,47.3,YOK,48.3,YOK,1.0,False
756,25.2,34.7,YOK,36.3,YOK,1.6,False
768,25.6,27.1,YOK,29.1,YOK,2.0,False
780,26.0,28.4,YOK,30.4,YOK,1.9,False
792,26.4,36.8,YOK,38.3,YOK,1.5,False
804,26.8,42.0,YOK,43.3,YOK,1.3,False
816,27.2,43.4,YOK,44.6,YOK,1.2,False
828,27.6,50.0,YOK,50.9,YOK,0.9,False
840,28.0,54.5,YOK,55.1,YOK,0.6,False
852,28.4,55.5,YOK,56.1,YOK,0.6,False
864,28.8,58.3,YOK,58.7,YOK,0.4,False
876,29.2,52.5,YOK,53.3,YOK,0.7,False
888,29.6,43.6,YOK,44.8,YOK,1.2,False
900,30.0,40.1,YOK,41.4,YOK,1.4,False
912,30.4,38.5,YOK,39.9,YOK,1.4,False
924,30.8,48.0,YOK,49.0,YOK,1.0,False
936,31.2,39.8,YOK,41.1,YOK,1.4,False
948,31.6,53.7,YOK,54.4,YOK,0.7,False
960,32.0,57.1,YOK,57.6,YOK,0.5,False
972,32.4,66.1,YANGIN,66.2,YANGIN,0.1,False
984,32.8,64.8,YOK,64.9,YOK,0.1,False
996,33.2,53.8,YOK,54.5,YOK,0.7,False
1008,33.6,53.7,YOK,54.3,YOK,0.7,False
1020,34.0,47.7,YOK,48.7,YOK,1.0,False
1032,34.4,64.0,YOK,64.2,YOK,0.2,False
1044,34.8,68.7,YANGIN,68.6,YANGIN,-0.1,False
1056,35.2,71.9,YANGIN,71.7,YANGIN,-0.2,False
1068,35.6,75.5,YANGIN,75.1,YANGIN,-0.4,False
1080,36.0,76.7,YANGIN,76.2,YANGIN,-0.5,False
1092,36.4,79.2,YANGIN,78.6,YANGIN,-0.6,False
1104,36.8,70.7,YANGIN,70.5,YANGIN,-0.2,False
1116,37.2,67.7,YANGIN,67.7,YANGIN,-0.0,False
1128,37.6,66.5,YANGIN,66.5,YANGIN,0.0,False
1140,38.0,66.2,YANGIN,66.3,YANGIN,0.0,False
1152,38.4,61.3,YOK,61.6,YOK,0.3,False
1164,38.8,59.0,YOK,59.5,YOK,0.4,False
1176,39.2,33.6,YOK,35.3,YOK,1.7,False
1188,39.6,20.9,YOK,23.2,YOK,2.3,False
1200,40.0,15.1,YOK,17.7,YOK,2.6,False
1212,40.4,13.6,YOK,16.3,YOK,2.7,False
1224,40.8,7.6,YOK,10.6,YOK,3.0,False
1236,41.2,11.5,YOK,14.3,YOK,2.8,False
1248,41.6,21.9,YOK,24.1,YOK,2.3,False
1260,42.0,14.5,YOK,17.1,YOK,2.6,False
1272,42.4,14.4,YOK,17.0,YOK,2.6,False
1284,42.8,11.0,YOK,13.8,YOK,2.8,False
1296,43.2,12.6,YOK,15.3,YOK,2.7,False
1308,43.6,15.1,YOK,17.7,YOK,2.6,False
1320,44.0,21.3,YOK,23.6,YOK,2.3,False
1332,44.4,20.8,YOK,23.1,YOK,2.3,False
1344,44.8,33.0,YOK,34.7,YOK,1.7,False
