latitude,longitude,acq_date,ndvi,ndmi,land_cover,label
37.30315,39.76293,2023-07-02,0.2382,0.1068,4,1
37.30315,39.76293,2023-01-13,0.1347,-0.037,4,0
37.32814,35.59839,2023-09-13,0.1282,-0.1244,4,1
37.32814,35.59839,2023-03-27,0.9123,0.4981,4,0
37.43273,39.41537,2022-08-06,0.3339,0.0026,4,0
38.82436,36.00638,2023-10-21,0.1225,-0.1313,4,1
38.82436,36.00638,2023-05-04,0.5704,0.167,4,0
36.92797,38.93847,2021-11-04,0.322,0.0167,4,1
36.92797,38.93847,2021-05-18,0.3841,0.2209,4,0
37.38452,37.18124,2020-07-12,0.1621,-0.1135,4,1
37.38452,37.18124,2020-01-24,0.4527,0.037,4,0
37.16383,40.23637,2021-01-11,0.19,-0.0809,4,1
37.16383,40.23637,2020-07-25,0.1287,-0.0821,4,0
37.31293,37.14262,2023-07-11,0.1708,-0.1345,4,1
37.31293,37.14262,2023-01-22,0.6726,0.2193,4,0
38.27747,37.1461,2022-05-12,0.0862,-0.0986,7,0
37.11085,39.18327,2023-01-12,0.1193,-0.1413,4,0
37.66896,40.92723,2020-07-25,0.1404,-0.1519,4,1
37.30468,28.32941,2021-08-05,0.7063,0.2966,1,1
37.30468,28.32941,2021-02-16,0.8254,0.4409,1,0
36.71428,38.89216,2023-12-19,0.2486,-0.2556,4,1
36.71428,38.89216,2023-07-02,0.0752,-0.1681,4,0
38.03607,29.53645,2020-11-01,0.1984,-0.0614,4,1
38.03607,29.53645,2020-05-15,0.1504,-0.0678,4,0
36.82484,39.4726,2023-12-30,0.1517,-0.165,4,1
36.82484,39.4726,2023-07-13,0.3425,0.0104,4,0
37.77725,40.93035,2021-09-12,0.2868,0.0396,4,1
37.77725,40.93035,2021-03-26,0.1259,-0.132,4,0
38.22112,41.76902,2020-09-16,0.4116,-0.0325,5,1
41.35921,34.88719,2024-02-10,0.1659,-0.0041,1,1
36.83082,39.89402,2020-09-03,0.1227,-0.1564,4,1
37.4001,39.50322,2023-07-23,0.1418,-0.0619,4,1
37.4001,39.50322,2023-02-03,0.7094,0.3318,4,0
37.44122,38.96446,2020-08-31,0.1161,-0.0584,4,1
37.44122,38.96446,2020-03-14,0.7159,0.1742,2,0
36.75489,39.03223,2023-12-03,0.3723,-0.0806,4,1
36.75489,39.03223,2023-06-16,0.3485,0.1216,4,0
36.78672,39.35144,2020-06-06,0.1915,-0.0058,4,1
36.78672,39.35144,2019-12-19,0.2726,-0.0532,4,0
37.5961,35.93139,2020-08-24,0.6698,0.0792,1,1
37.15269,40.13178,2019-08-08,0.4372,0.1212,4,0
37.18113,44.36271,2021-09-04,0.4002,0.0275,1,1
37.18113,44.36271,2021-03-18,0.3141,-0.1178,4,0
37.0481,27.90074,2021-08-04,0.5803,0.1797,1,1
37.0481,27.90074,2021-02-15,0.7513,0.3326,1,0
36.96037,31.48651,2021-07-30,0.7457,0.2373,1,1
38.0262,41.42769,2023-07-13,0.1477,-0.002,4,1
38.0262,41.42769,2023-01-24,0.5789,0.1873,4,0
37.06501,40.31814,2023-12-03,0.4032,-0.0034,4,1
37.06501,40.31814,2023-06-16,0.2128,-0.0226,4,0
37.03312,27.81261,2021-08-02,0.402,0.0101,5,1
37.03312,27.81261,2021-02-13,0.5747,0.0753,5,0
38.27425,33.22019,2020-03-07,0.149,-0.1625,4,1
38.27425,33.22019,2019-09-19,0.2765,0.024,4,0
37.33628,35.80458,2021-08-17,0.7026,0.1043,4,1
36.96683,31.4126,2021-08-01,0.5598,-0.0406,1,1
41.61226,27.17351,2023-10-30,0.2567,-0.12,4,1
36.83126,28.22692,2021-07-29,0.7589,0.244,1,1
36.83126,28.22692,2021-02-09,0.8721,0.4606,1,0
38.7431,29.35633,2020-09-03,0.2759,-0.183,4,1
38.58002,26.88504,2023-02-26,0.3133,-0.0648,5,1
38.58002,26.88504,2022-09-09,0.1979,-0.088,5,0
36.21405,35.9875,2020-09-05,0.7924,0.3831,1,1
36.21405,35.9875,2020-03-19,0.777,0.2887,1,0
38.28935,38.87086,2023-08-03,0.2126,-0.1518,5,1
38.28935,38.87086,2023-02-14,0.5092,0.0128,2,0
37.11778,40.05759,2021-12-03,0.4543,0.0454,4,1
37.11778,40.05759,2021-06-16,0.1695,-0.0252,4,0
38.10443,41.1208,2020-10-24,0.1018,0.0269,7,1
38.10443,41.1208,2020-05-07,0.8612,0.4785,4,0
37.68385,39.30466,2023-11-11,0.0875,-0.1426,4,1
37.68385,39.30466,2023-05-25,0.6431,0.3257,4,0
37.30796,28.32415,2021-08-05,0.5053,0.118,1,1
37.30796,28.32415,2021-02-16,0.7855,0.179,1,0
37.01352,39.01175,2020-11-24,0.2524,-0.0215,4,1
37.01352,39.01175,2020-06-07,0.1761,-0.044,4,0
39.47433,32.70375,2022-09-10,0.1267,-0.1292,4,1
39.47433,32.70375,2022-03-24,0.4704,0.0862,4,0
36.94773,40.06059,2021-06-10,0.2099,0.0323,4,1
36.94773,40.06059,2020-12-22,0.3161,-0.0503,4,0
37.20612,39.73609,2020-11-24,0.2123,-0.0831,4,1
38.66848,40.3388,2021-06-27,0.7346,0.172,1,1
36.78635,28.2345,2021-07-30,0.9423,0.4542,1,1
36.78635,28.2345,2021-02-10,0.8906,0.4826,1,0
36.1625,33.25243,2021-02-10,0.8246,0.3248,1,0
37.07367,40.05023,2021-12-26,0.2437,-0.0385,4,1
37.07367,40.05023,2021-07-09,0.1997,-0.1275,4,0
36.92053,31.30538,2021-07-29,0.5805,0.0731,1,1
37.6751,39.31511,2021-06-23,0.3091,0.0912,4,1
37.6751,39.31511,2021-01-04,0.2366,-0.0668,4,0
37.76982,38.58808,2021-06-15,0.1204,-0.1453,4,1
37.76982,38.58808,2020-12-27,0.171,-0.1414,4,0
37.18685,35.93674,2020-09-04,0.1904,-0.1543,4,1
37.18685,35.93674,2020-03-18,0.1424,-0.1796,4,0
37.58448,39.48943,2020-08-20,0.1092,-0.0886,4,1
37.58448,39.48943,2020-03-03,0.2333,-0.0641,4,0
36.97834,40.17747,2020-06-12,0.3169,0.1287,4,1
37.05858,39.1476,2022-11-12,0.2645,-0.1666,4,1
37.07618,27.8924,2021-08-06,0.2318,-0.0749,5,1
37.07618,27.8924,2021-02-17,0.7028,0.2724,5,0
36.88211,31.40966,2021-07-29,0.5581,0.0146,1,1
37.99284,40.12424,2022-06-05,-0.0289,0.1204,6,1
